text,label
라이너 기량 차이나면 게임이 어떻게 되는지 보여주는 수준이였음 이건 한끗 차이로 진게 아니라 열끗차 이상으로 진 거임... 컨디션 이야기도 다 핑계임 프로가 관리 못한 잘못이지 꼬우면 결과로 보였어야지 인터뷰도 개판이던데 ㅋㅋ 참 잘도 올라가겠다 아직도 정신 못차렸네,0
G2가싸움을 거는데 skt는 그냥 쌈에서 강1간당하는느낌,0
지투 결승도이기고 앞으로 승승장구하자 페이커는 은퇴나하고 ㄹㅇ 눈썩는다,0
그냥 페이커가 조나 못했다. 니코 잡고도 애매했고 그렇다고 라이즈 잡고도 정말 애매했다. 키아나 플레이는 보는 내내 답답하드라. 페이커 폼도 많이 죽었고 이참에 중국 가서 돈좀 벌고 은퇴해라. 다음? 이제 다음이 있을거라 생각하냐 진심으로?,0
'어차피 우리가 더 잘하니까 다음 판 집중하자'퇴이커 이런 마인드니 쳐발리지 국제무대에서 ㅋㅋ,0
게임최강국가에서 그냥 겜창국가로 떨어졌구나,0
ㅋㅋ 내로남불 개오지네 18 킹존때는 머만하면 욕 박앗으면서 잘햇어요 이지랄 ㅋㅋㅋㅋㅋㅋㅋ 엮엽다,0
자야 ㅈ같은거 왜 벤을 안하는거?,0
페커 키아나 똥 오우쉣ㅋㅋ,0
느그슼,0
아 키아나 진짜 중후반에 개눈썩이다 진짜로 ㅋㅋㅋㅋㅋ오늘 진짜 칸 세체탑 포스였는데 ㅋㅋ,0
g2형들을 응원할때다 개돼지들 가즈아~,0
3년전 락스의 미포터조합에 벼랑끝에몰린 skt를 구한 뱅기는 전설이 되엇고 현재 야라가스듀오에 벼락끝에 몰린 skt를 구하지못한 마타는 퇴물이 되엇다,0
페이커의 몰락이 보였다,0
이걸 계기로 패이커 폼 무너지고 이제 은퇴의길을 걷는건가,0
내가봤을때는 skt 서포터가 그냥 구데기 수준인데?,0
페이커가 한타를 존나 못하네 그냥 3경기 라이즈 4경기 키아나 그냥 한타 개못하는디,0
아 skt가 지다니 이런... 하지만 잘하셨는걸 아ㅏㅏㅏㅏㅏㅏ킹치만 져서!!g2문향이 일본사무라이같아서 싫었는디,0
여기서 3부딱 강등 됐고만,0
그래도 이번엔 범인이 너무 명확해서 딴놈이 정신병원 가는일은 없을듯,0
RIP SKT 편히 잠드소서..,0
"오늘 똥 페이커>>>>에포트>>>마타,테디",0
거품 잘 빠졌네,0
"칸, 클리드, 테디- 무죄페이커,에포트 - 유.죄 🤦🏻‍♂️",0
간단 요약 : ㄴㄱㅎ,0
은퇴해야겠다 상혁이형,0
페이커랑 서폿 두넘들이 겜 말아먹었음. 패이커는 한타 때 엉뚱한데 가있고 참여도 안하고 멍때리다가 죽어주고 서폿 두넘들은 스킬 ㅈㄴ 못맞추고 허둥지둥하다가 쳐잡히고 ㅡㅡ,0
페이커가 똥싸니까 범인찾기도 안하고 좋다 좋아~,0
